t; x
0; 0
0.001; 0.01
0.002; 0.0196
0.003; 0.028815
0.004; 0.0376594
0.005; 0.0461472
0.006; 0.0542917
0.007; 0.0621058
0.008; 0.0696019
0.009; 0.076792
0.01; 0.0836875
0.011; 0.0902995
0.012; 0.0966387
0.013; 0.102715
0.014; 0.108539
0.015; 0.11412
0.016; 0.119466
0.017; 0.124587
0.018; 0.129492
0.019; 0.134188
0.02; 0.138683
0.021; 0.142985
0.022; 0.1471
0.023; 0.151037
0.024; 0.154802
0.025; 0.158401
0.026; 0.161841
0.027; 0.165127
0.028; 0.168266
0.029; 0.171262
0.03; 0.174122
0.031; 0.17685
0.032; 0.179452
0.033; 0.181932
0.034; 0.184295
0.035; 0.186545
0.036; 0.188687
0.037; 0.190724
0.038; 0.192661
0.039; 0.194502
0.04; 0.196249
0.041; 0.197907
0.042; 0.19948
0.043; 0.200969
0.044; 0.202379
0.045; 0.203713
0.046; 0.204973
0.047; 0.206162
0.048; 0.207283
0.049; 0.208339
0.05; 0.209332
0.051; 0.210264
0.052; 0.211138
0.053; 0.211956
0.054; 0.21272
0.055; 0.213432
0.056; 0.214095
0.057; 0.21471
0.058; 0.215278
0.059; 0.215803
0.06; 0.216285
0.061; 0.216726
0.062; 0.217128
0.063; 0.217492
0.064; 0.21782
0.065; 0.218113
0.066; 0.218373
0.067; 0.2186
0.068; 0.218796
0.069; 0.218963
0.07; 0.219101
0.071; 0.219212
0.072; 0.219296
0.073; 0.219355
0.074; 0.21939
0.075; 0.219402
0.076; 0.219391
0.077; 0.219358
0.078; 0.219305
0.079; 0.219232
0.08; 0.21914
0.081; 0.21903
0.082; 0.218902
0.083; 0.218758
0.084; 0.218597
0.085; 0.218421
0.086; 0.21823
0.087; 0.218025
0.088; 0.217807
0.089; 0.217575
0.09; 0.217331
0.091; 0.217075
0.092; 0.216807
0.093; 0.216528
0.094; 0.216239
0.095; 0.21594
0.096; 0.215631
0.097; 0.215312
0.098; 0.214985
0.099; 0.21465
